Comment,Designator,Footprint,LCSC
"10u 50V","C1","Capacitor_SMD:C_0805_2012Metric","C440198"
"100n 100V","C11,C12,C13,C21","Capacitor_SMD:C_0402_1005Metric","C162178"
"100n","C14,C15,C16,C17,C22","Capacitor_SMD:C_0402_1005Metric","C307331"
"680p","C18,C23","Capacitor_SMD:C_0402_1005Metric","C107030 "
"22u","C19,C20","Capacitor_SMD:C_0402_1005Metric","C3845593"
"10u 100V","C2,C3,C5,C7,C8","Capacitor_SMD:C_1210_3225Metric","C5156756"
"120p","C24","Capacitor_SMD:C_0402_1005Metric","C440165 "
"100p","C25","Capacitor_SMD:C_0402_1005Metric","C1546"
"56p","C26","Capacitor_SMD:C_0402_1005Metric","C1572"
"68n","C27","Capacitor_SMD:C_0402_1005Metric","C354977"
"47p","C28","Capacitor_SMD:C_0402_1005Metric","C1567"
"47n","C29","Capacitor_SMD:C_0402_1005Metric","C82219"
"47u 63V","C6,C9","Capacitor_SMD:CP_Elec_8x10.5","C5246568"
"15V","D1","Diode_SMD:D_SOD-523","C131800"
"Conn_01x03","J1,J2,J3,J4,J5,J6,J7,J8","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left","C2883760 "
"Conn_02x03_Odd_Even","J9,J10","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","C3294461"
"2.2u","L1","protovolt:L_Changjiang_FXL1050","C5359259 "
"HSBB6054","Q1,Q2,Q3,Q4,Q5","Package_SON:Diodes_PowerDI3333-8","C5341686"
"0.010R","R1","protovolt:R_2512_6332Metric_SHUNT","C393070 "
"10R","R10,R14,R21,R23","Resistor_SMD:R_0402_1005Metric","C25077"
"3R","R15,R16,R17,R18,R19,R20","Resistor_SMD:R_0402_1005Metric","C321179"
"75k","R2","Resistor_SMD:R_0402_1005Metric","C286566 "
"40.2k","R25","Resistor_SMD:R_0402_1005Metric","C25893"
"2.7k","R26","Resistor_SMD:R_0402_1005Metric","C25885"
"0.003R","R3","protovolt:R_2512_6332Metric_SHUNT","C5375459"
"100R","R4","Resistor_SMD:R_0402_1005Metric","C25076"
"30.9k","R5,R28","Resistor_SMD:R_0402_1005Metric","C310222"
"0R","R6,R7,R9,R13,R27","Resistor_SMD:R_0402_1005Metric","C17168"
"6.98k","R8,R11,R12,R22,R24","Resistor_SMD:R_0402_1005Metric","C47500"
"INA226","U1","Package_SO:VSSOP-10_3x3mm_P0.5mm","C49851"
"LM51772RHAR","U2","Package_DFN_QFN:QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias","C41383743"